SG=<i>P</i>6<sub>4</sub>'
 name=172.127
 spinor=True
symmetries=
     1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 0 -1 0 1 -1 0 0 0 1    0 0 1/3   1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 0.6666666666666667
 -1 1 0 -1 0 0 0 0 1    0 0 2/3   1.0 0.0 0.0 1.0    0.6666666666666667 0.0 0.0 0.3333333333333333
   -1 0 0 0 -1 0 0 0 1    0 0 0                                1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5
  0 1 0 -1 1 0 0 0 1    0 0 1/3  1.0 0.0 0.0 1.0    0.8333333333333334 0.0 0.0 0.16666666666666669
  1 -1 0 1 0 0 0 0 1    0 0 2/3  1.0 0.0 0.0 1.0    0.16666666666666669 0.0 0.0 0.8333333333333334


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2 3 4 5 6
-GM4     1 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0  1.0 -1.0  1.0 -1.0
-GM5GM6  2  1.0  1.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  A : 0.000000 0.000000 0.500000 :  1 2 3 4 5 6
-A4A6  2 -1.0  1.0 -2.0  1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0
-A5    1  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0



kpoint  H : 0.333333 0.333333 0.500000 :  1 2 3 4 5 6
-H4H6  2 -1.0  1.0 -2.0  1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0
-H5    1  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0



kpoint  HA : 0.666667 0.666667 0.500000 :  1 2 3 4 5 6
-HA4HA6  2 -1.0  1.0 -2.0  1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0
-HA5     1  1.0 -1.0 -1.0 -1.0  1.0  1.0  1.0  1.0 -1.0 -1.0 -1.0



kpoint  K : 0.333333 0.333333 0.000000 :  1 2 3 4 5 6
-K4    1 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0  1.0 -1.0  1.0 -1.0
-K5K6  2  1.0  1.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  KA : 0.666667 0.666667 0.000000 :  1 2 3 4 5 6
-KA4     1 -1.0 -1.0 -1.0  1.0  1.0  1.0 -1.0  1.0 -1.0  1.0 -1.0
-KA5KA6  2  1.0  1.0 -2.0 -1.0 -1.0  0.0  0.0  0.0  0.0  0.0  0.0



kpoint  L : 0.500000 0.000000 0.500000 :  1 2
-L2  1 -1.0  1.0 -1.0



kpoint  M : 0.500000 0.000000 0.000000 :  1 2
-M2  1 -1.0  1.0 -1.0
