SG=Pm'm2'
 name=25.59
 nsym=2
 spinor=True
symmetries=
  1 0 0   0 1 0   0 0 1   0 0 0  1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0
 1 0 0   0 -1 0   0 0 1   0 0 0  0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0


kpoint  GM : 0.000000 0.000000 0.000000 :  1 2
-GM3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-GM4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500



kpoint  R : 0.500000 0.500000 0.500000 ; E  :  0.5 0.5 0.5 :  1 2
-(R)E3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-(R)E4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500



kpoint  S : 0.500000 0.500000 0.000000 ; C  :  0.5 0.5 0.0 :  1 2
-(S)C3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-(S)C4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500



kpoint  T : 0.000000 0.500000 0.500000 ; D  :  0.0 0.5 0.5 :  1 2
-(T)D3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-(T)D4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500



kpoint  U : 0.500000 0.000000 0.500000 ; A  :  0.5 0.0 0.5 :  1 2
-(U)A3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-(U)A4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500



kpoint  X : 0.500000 0.000000 0.000000 ; Y  :  0.5 0.0 0.0 :  1 2
-(X)Y3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-(X)Y4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500



kpoint  Y : 0.000000 0.500000 0.000000 ; Z  :  0.0 0.5 0.0 :  1 2
-(Y)Z3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-(Y)Z4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500



kpoint  Z : 0.000000 0.000000 0.500000 ; B  :  0.0 0.0 0.5 :  1 2
-(Z)B3  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 -0.500 -1.000 0.500 0.000 -0.500 -1.000 0.500
-(Z)B4  1   1.000 1.000 -0.000 -1.000 -0.000 1.000 -0.000 -1.000 -0.000 0.000 0.000 0.500 -1.000 -0.500 0.000 0.500 -1.000 -0.500
