GM:(0,0,0)  A:(1/2,1/2,1/2)  M:(1/2,1/2,0)  R:(0,1/2,1/2)  X:(0,1/2,0)  Z:(0,0,1/2)
GM:(0,0,0)  T:(1,0,1/2)  Y:(1,0,0)  R:(1/2,1/2,1/2)  S:(1/2,1/2,0)  Z:(0,0,1/2)
GM1  GM2  GM3GM4  GM5  (A)T1  (A)T2  (A)T3T4  (A)T5  (M)Y1  (M)Y2  (M)Y3Y4  (M)Y5  R1  R2  R3  R4  (X)S1  (X)S2  (X)S3  (X)S4  Z1  Z2  Z3Z4  Z5
1 1 2 2 1 1 2 2 1 1 2 2 1 1 1 1 1 1 1 1 1 1 2 2
1a (4'22',222) A1 1 1,1a (4'22',222) B1 1 1,1a (4'22',222) B2B3 2 1,1a (4'22',222) E 2 1,1b (4'22',222) A1 1 1,1b (4'22',222) B1 1 1,1b (4'22',222) B2B3 2 1,1b (4'22',222) E 2 1,1c (4'22',222) A1 1 1,1c (4'22',222) B1 1 1,1c (4'22',222) B2B3 2 1,1c (4'22',222) E 2 1,1d (4'22',222) A1 1 1,1d (4'22',222) B1 1 1,1d (4'22',222) B2B3 2 1,1d (4'22',222) E 2 1,2e (2'2'2,2) A 2 1,2e (2'2'2,2) B 2 1,2e (2'2'2,2) 1E 2 1,2e (2'2'2,2) 2E 2 1,2f (2'2'2,2) A 2 1,2f (2'2'2,2) B 2 1,2f (2'2'2,2) 1E 2 1,2f (2'2'2,2) 2E 2 1
1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0
0 0 1 0 0 0 1 0 0 0 1 0 0 2 0 0 0 2 0 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1
1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0
0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0
0 0 1 0 0 0 1 0 0 0 1 0 0 2 0 0 0 2 0 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1
1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0
0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0
0 0 1 0 0 0 1 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1
1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0
0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0
0 0 1 0 0 0 1 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1
1 1 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 0
0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 2 0 0 0 1
0 0 0 1 0 0 0 1 0 0 0 1 0 0 2 0 0 0 2 0 0 0 0 1
1 1 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 0
0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 0 0 1 0
0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 2 0 0 0 1
0 0 0 1 0 0 0 1 0 0 0 1 0 0 2 0 0 0 2 0 0 0 0 1

-1 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
0 1 1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0
1 1 1 0 0 0 -1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0
0 0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0
-1 0 -1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
